,total_RE,white,black,aindian,asian,pacisland,other,latinx,total_poverty,under_poverty,income,county,state,tract,GEOID10,acs_year
0,2395.0,2187.0,4.0,9.0,4.0,0.0,79.0,112.0,2269.0,212.0,47535.0,001,53,950100,53001950100,2015
1,1621.0,1364.0,0.0,7.0,6.0,2.0,37.0,205.0,1621.0,337.0,52500.0,001,53,950200,53001950200,2015
2,7099.0,1617.0,27.0,0.0,0.0,22.0,97.0,5336.0,7058.0,1542.0,39276.0,001,53,950300,53001950300,2015
3,3123.0,926.0,8.0,0.0,37.0,0.0,28.0,2124.0,3027.0,872.0,41522.0,001,53,950400,53001950400,2015
4,4843.0,819.0,0.0,0.0,73.0,0.0,0.0,3951.0,4826.0,1056.0,50870.0,001,53,950500,53001950500,2015
5,4247.0,3766.0,0.0,55.0,111.0,53.0,181.0,81.0,4208.0,452.0,66613.0,003,53,960100,53003960100,2015
6,4845.0,4473.0,39.0,61.0,13.0,0.0,93.0,166.0,4806.0,390.0,52232.0,003,53,960200,53003960200,2015
7,3314.0,3098.0,14.0,111.0,9.0,0.0,22.0,60.0,3244.0,640.0,27809.0,003,53,960300,53003960300,2015
8,2250.0,2078.0,29.0,7.0,6.0,0.0,23.0,107.0,2237.0,363.0,44750.0,003,53,960400,53003960400,2015
9,3868.0,3492.0,8.0,6.0,15.0,0.0,98.0,249.0,3794.0,841.0,35938.0,003,53,960500,53003960500,2015
10,3516.0,3280.0,0.0,10.0,35.0,8.0,62.0,121.0,3442.0,615.0,41050.0,003,53,960600,53003960600,2015
11,4521.0,3880.0,0.0,52.0,272.0,0.0,132.0,178.0,4464.0,260.0,97552.0,005,53,010100,53005010100,2015
12,5057.0,4168.0,185.0,12.0,264.0,0.0,69.0,359.0,5057.0,339.0,78894.0,005,53,010201,53005010201,2015
13,6375.0,4445.0,16.0,118.0,376.0,57.0,124.0,1239.0,6295.0,1432.0,51402.0,005,53,010202,53005010202,2015
14,5704.0,4827.0,9.0,32.0,107.0,6.0,165.0,558.0,5704.0,596.0,59769.0,005,53,010300,53005010300,2015
15,3453.0,2685.0,29.0,0.0,132.0,0.0,129.0,478.0,3453.0,326.0,43605.0,005,53,010400,53005010400,2015
16,3411.0,2514.0,53.0,6.0,145.0,15.0,111.0,567.0,3345.0,960.0,57228.0,005,53,010500,53005010500,2015
17,4177.0,3047.0,79.0,53.0,88.0,0.0,278.0,632.0,4041.0,532.0,46278.0,005,53,010600,53005010600,2015
18,2153.0,1884.0,36.0,0.0,7.0,0.0,65.0,161.0,2153.0,112.0,74286.0,005,53,010701,53005010701,2015
19,3348.0,2715.0,13.0,121.0,30.0,5.0,10.0,454.0,3348.0,764.0,47009.0,005,53,010703,53005010703,2015
20,5300.0,4815.0,32.0,63.0,32.0,0.0,5.0,353.0,5290.0,133.0,96026.0,005,53,010705,53005010705,2015
21,3028.0,2586.0,9.0,0.0,46.0,10.0,113.0,264.0,3028.0,217.0,99632.0,005,53,010707,53005010707,2015
22,2449.0,1899.0,21.0,43.0,37.0,0.0,27.0,410.0,2444.0,223.0,66641.0,005,53,010708,53005010708,2015
23,7611.0,5990.0,52.0,28.0,474.0,8.0,136.0,923.0,7611.0,235.0,95219.0,005,53,010803,53005010803,2015
24,6149.0,4886.0,213.0,0.0,551.0,0.0,203.0,296.0,6136.0,601.0,94523.0,005,53,010805,53005010805,2015
25,1151.0,900.0,0.0,141.0,0.0,3.0,0.0,107.0,1151.0,120.0,66477.0,005,53,010807,53005010807,2015
26,6210.0,5044.0,61.0,40.0,137.0,14.0,154.0,760.0,6174.0,646.0,61578.0,005,53,010809,53005010809,2015
27,5267.0,4804.0,0.0,51.0,92.0,0.0,80.0,234.0,5234.0,239.0,84034.0,005,53,010810,53005010810,2015
28,3638.0,3226.0,10.0,0.0,341.0,0.0,4.0,57.0,3638.0,42.0,134396.0,005,53,010811,53005010811,2015
29,10871.0,8900.0,252.0,16.0,366.0,0.0,104.0,1123.0,10871.0,347.0,80543.0,005,53,010813,53005010813,2015
30,2946.0,2711.0,0.0,11.0,17.0,0.0,21.0,181.0,2946.0,82.0,108478.0,005,53,010814,53005010814,2015
31,7157.0,4571.0,263.0,25.0,220.0,6.0,377.0,1695.0,6109.0,2014.0,47031.0,005,53,010901,53005010901,2015
32,5141.0,2836.0,77.0,87.0,165.0,0.0,237.0,1739.0,5130.0,882.0,43750.0,005,53,010902,53005010902,2015
33,4853.0,3457.0,75.0,0.0,0.0,28.0,209.0,1084.0,4832.0,881.0,47687.0,005,53,011001,53005011001,2015
34,4588.0,3340.0,14.0,4.0,34.0,2.0,63.0,1083.0,4572.0,1229.0,39103.0,005,53,011002,53005011002,2015
35,7957.0,5142.0,32.0,22.0,125.0,0.0,404.0,2232.0,7912.0,1061.0,54530.0,005,53,011100,53005011100,2015
36,8300.0,3288.0,273.0,0.0,235.0,0.0,401.0,4072.0,8166.0,3680.0,24086.0,005,53,011200,53005011200,2015
37,5206.0,2178.0,248.0,45.0,42.0,0.0,85.0,2570.0,5132.0,1266.0,33714.0,005,53,011300,53005011300,2015
38,3318.0,1909.0,116.0,43.0,0.0,0.0,46.0,1204.0,3307.0,1003.0,35250.0,005,53,011401,53005011401,2015
39,5655.0,4468.0,6.0,22.0,15.0,0.0,422.0,722.0,5655.0,309.0,72344.0,005,53,011402,53005011402,2015
40,6549.0,4990.0,63.0,43.0,64.0,0.0,92.0,1297.0,6511.0,504.0,63571.0,005,53,011501,53005011501,2015
41,9269.0,7604.0,313.0,0.0,341.0,0.0,116.0,895.0,9160.0,674.0,80212.0,005,53,011503,53005011503,2015
42,3210.0,2617.0,106.0,0.0,0.0,0.0,55.0,432.0,3202.0,363.0,79222.0,005,53,011504,53005011504,2015
43,997.0,532.0,0.0,10.0,0.0,0.0,0.0,455.0,976.0,41.0,56923.0,005,53,011600,53005011600,2015
44,7249.0,3976.0,0.0,0.0,17.0,36.0,65.0,3155.0,7249.0,925.0,53873.0,005,53,011700,53005011700,2015
45,7143.0,3712.0,4.0,4.0,0.0,0.0,3.0,3420.0,7143.0,1745.0,50372.0,005,53,011800,53005011800,2015
46,5497.0,3739.0,18.0,81.0,12.0,0.0,133.0,1514.0,5497.0,1230.0,49619.0,005,53,011900,53005011900,2015
47,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,,005,53,012000,53005012000,2015
48,2274.0,1968.0,0.0,20.0,0.0,2.0,24.0,260.0,2266.0,287.0,50638.0,007,53,960100,53007960100,2015
49,6218.0,5448.0,29.0,81.0,7.0,0.0,149.0,504.0,6174.0,883.0,50470.0,007,53,960200,53007960200,2015
50,6908.0,4364.0,0.0,0.0,0.0,0.0,0.0,2544.0,6848.0,1629.0,49063.0,007,53,960300,53007960300,2015
51,3328.0,2021.0,49.0,15.0,0.0,24.0,0.0,1219.0,3328.0,427.0,45909.0,007,53,960400,53007960400,2015
52,6858.0,5205.0,0.0,36.0,22.0,0.0,0.0,1595.0,6787.0,924.0,61287.0,007,53,960500,53007960500,2015
53,4254.0,2726.0,20.0,30.0,141.0,0.0,110.0,1227.0,4169.0,517.0,53511.0,007,53,960600,53007960600,2015
54,3665.0,3209.0,20.0,10.0,86.0,0.0,9.0,331.0,3637.0,203.0,79395.0,007,53,960700,53007960700,2015
55,2787.0,2471.0,9.0,13.0,15.0,0.0,11.0,268.0,2768.0,277.0,65862.0,007,53,960801,53007960801,2015
56,7429.0,5697.0,1.0,0.0,2.0,0.0,74.0,1655.0,7429.0,1773.0,43846.0,007,53,960802,53007960802,2015
57,6451.0,3384.0,39.0,46.0,54.0,11.0,258.0,2659.0,6128.0,937.0,35505.0,007,53,961000,53007961000,2015
58,10289.0,4557.0,22.0,84.0,45.0,16.0,72.0,5493.0,10161.0,1459.0,52929.0,007,53,961100,53007961100,2015
59,4395.0,3194.0,15.0,46.0,9.0,0.0,113.0,1018.0,4352.0,612.0,58182.0,007,53,961200,53007961200,2015
60,1350.0,935.0,131.0,6.0,46.0,0.0,5.0,227.0,1350.0,43.0,68879.0,007,53,961301,53007961301,2015
61,8061.0,6038.0,5.0,312.0,164.0,7.0,323.0,1199.0,7992.0,495.0,53780.0,007,53,961302,53007961302,2015
62,1120.0,895.0,41.0,38.0,11.0,1.0,55.0,79.0,938.0,263.0,43750.0,009,53,000200,53009000200,2015
63,4742.0,3343.0,38.0,267.0,35.0,0.0,186.0,873.0,4657.0,1103.0,35075.0,009,53,000300,53009000300,2015
64,1570.0,1029.0,0.0,326.0,16.0,7.0,67.0,125.0,1540.0,229.0,42394.0,009,53,000400,53009000400,2015
65,3338.0,2780.0,0.0,228.0,23.0,5.0,104.0,198.0,3299.0,545.0,50000.0,009,53,000600,53009000600,2015
66,3855.0,3409.0,39.0,26.0,43.0,0.0,88.0,249.0,3793.0,1144.0,56842.0,009,53,000700,53009000700,2015
67,4169.0,3681.0,12.0,43.0,60.0,0.0,182.0,191.0,4141.0,720.0,45156.0,009,53,000800,53009000800,2015
68,2765.0,2324.0,13.0,74.0,26.0,0.0,75.0,253.0,2765.0,433.0,39338.0,009,53,000900,53009000900,2015
69,2563.0,2221.0,2.0,12.0,39.0,0.0,199.0,90.0,2416.0,394.0,33712.0,009,53,001000,53009001000,2015
70,3229.0,2520.0,263.0,115.0,182.0,0.0,92.0,57.0,3229.0,799.0,47093.0,009,53,001100,53009001100,2015
71,3552.0,3141.0,13.0,59.0,78.0,0.0,132.0,129.0,3449.0,571.0,35625.0,009,53,001200,53009001200,2015
72,3442.0,3200.0,14.0,25.0,0.0,0.0,86.0,117.0,3442.0,359.0,53083.0,009,53,001300,53009001300,2015
73,4951.0,4296.0,0.0,134.0,96.0,23.0,224.0,169.0,4804.0,495.0,64159.0,009,53,001400,53009001400,2015
74,2362.0,1583.0,0.0,541.0,20.0,0.0,89.0,129.0,2340.0,431.0,55729.0,009,53,001500,53009001500,2015
75,3275.0,3117.0,0.0,29.0,8.0,0.0,56.0,65.0,3260.0,287.0,51464.0,009,53,001600,53009001600,2015
76,4535.0,4204.0,0.0,27.0,40.0,0.0,125.0,139.0,4530.0,500.0,46890.0,009,53,001700,53009001700,2015
77,2720.0,2460.0,0.0,7.0,20.0,0.0,137.0,88.0,2684.0,289.0,53665.0,009,53,001800,53009001800,2015
78,5353.0,4964.0,0.0,23.0,121.0,0.0,113.0,132.0,5353.0,243.0,52314.0,009,53,001900,53009001900,2015
79,5364.0,4708.0,89.0,0.0,114.0,0.0,271.0,182.0,5245.0,383.0,48098.0,009,53,002000,53009002000,2015
80,3598.0,2557.0,42.0,66.0,67.0,0.0,70.0,660.0,3477.0,631.0,31128.0,009,53,002100,53009002100,2015
81,4363.0,4082.0,44.0,20.0,47.0,0.0,79.0,91.0,4307.0,576.0,54702.0,009,53,002300,53009002300,2015
82,1531.0,147.0,2.0,1138.0,0.0,7.0,134.0,103.0,1489.0,287.0,35956.0,009,53,940000,53009940000,2015
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,009,53,990100,53009990100,2015
84,5190.0,4975.0,0.0,13.0,0.0,0.0,113.0,71.0,5190.0,735.0,59726.0,011,53,040101,53011040101,2015
85,3367.0,3229.0,18.0,11.0,0.0,0.0,40.0,69.0,3352.0,317.0,66089.0,011,53,040102,53011040102,2015
86,5390.0,4824.0,51.0,89.0,53.0,0.0,97.0,246.0,5390.0,356.0,69479.0,011,53,040201,53011040201,2015
87,4040.0,3574.0,88.0,0.0,35.0,0.0,248.0,84.0,4018.0,303.0,65625.0,011,53,040202,53011040202,2015
88,5665.0,5148.0,0.0,36.0,81.0,25.0,211.0,155.0,5654.0,289.0,78015.0,011,53,040203,53011040203,2015
89,1496.0,1354.0,0.0,17.0,9.0,0.0,29.0,80.0,1495.0,116.0,82396.0,011,53,040301,53011040301,2015
90,6980.0,6153.0,0.0,0.0,235.0,0.0,217.0,375.0,6914.0,487.0,90213.0,011,53,040302,53011040302,2015
